epoch,time_elapsed,rollout_ep_steps,total_rollout_steps,rollout_return,actor_lr,critic_lr,,,,,
46.4262886,41400,0.001,200,-214.5073154,206,0.0001,,,,9.816692,0.51331764
46.66809607,41600,0.001,200,-223.8905743,207,0.0001,,,,9.808001,0.49072325
46.90997362,41800,0.001,200,-222.5546398,208,0.0001,,,,9.846088,0.43591273
47.15317798,42000,0.001,200,-236.2189671,209,0.0001,,,,9.876736,0.5135219
47.39440465,42200,0.001,200,-236.6351851,210,0.0001,,,,9.953885,0.46529052
47.63730955,42400,0.001,200,-238.9126136,211,0.0001,,,,9.937272,0.4574195
47.87607884,42600,0.001,200,-230.7697669,212,0.0001,,,,10.001242,0.4181781
48.11621857,42800,0.001,200,-239.2636848,213,0.0001,,,,9.951953,0.4958924
48.35707855,43000,0.001,200,-236.5484358,214,0.0001,,,,10.063476,0.5939336
48.60211277,43200,0.001,200,-245.1596625,215,0.0001,,,,10.112755,0.4997073
48.84419656,43400,0.001,200,-238.645477,216,0.0001,,,,10.112872,0.48140502
49.08820629,43600,0.001,200,-231.268143,217,0.0001,,,,10.258468,0.47274703
49.32945538,43800,0.001,200,-238.7219469,218,0.0001,,,,10.266792,0.45518687
49.56783271,44000,0.001,200,-234.3992549,219,0.0001,,,,10.238276,0.4838542
49.8044281,44200,0.001,200,-245.9329179,220,0.0001,,,,10.32203,0.50947326
50.04226589,44400,0.001,200,-207.2469461,221,0.0001,,,,10.347158,0.5378063
50.27966428,44600,0.001,200,-224.9374033,222,0.0001,,,,10.473254,0.48060867
50.5203054,44800,0.001,200,-231.1127003,223,0.0001,,,,10.437161,0.4601555
50.7548902,45000,0.001,200,-230.3791054,224,0.0001,,,,10.451954,0.5950481
50.98987508,45200,0.001,200,-231.8304086,225,0.0001,,,,10.577553,0.59702563
51.23113489,45400,0.001,200,-216.4186866,226,0.0001,,,,10.514356,0.49098533
51.46981621,45600,0.001,200,-218.9444317,227,0.0001,,,,10.590496,0.515415
51.71076083,45800,0.001,200,-237.1262177,228,0.0001,,,,10.667968,0.53629607
51.94753122,46000,0.001,200,-209.4658288,229,0.0001,,,,10.75005,0.445321
52.1841712,46200,0.001,200,-209.6327386,230,0.0001,,,,10.749312,0.49314725
52.42172718,46400,0.001,200,-213.1032966,231,0.0001,,,,10.774833,0.501679
52.6567626,46600,0.001,200,-198.9516155,232,0.0001,,,,10.813676,0.5253357
52.89312649,46800,0.001,200,-220.0934836,233,0.0001,,,,10.917554,0.6641379
53.12721205,47000,0.001,200,-201.6574042,234,0.0001,,,,10.983847,0.48856077
53.37175632,47200,0.001,200,-254.1629172,235,0.0001,,,,10.979487,0.7062468
53.60670972,47400,0.001,200,-220.0424851,236,0.0001,,,,11.084921,0.50446784
53.84485412,47600,0.001,200,-222.6859868,237,0.0001,,,,11.088549,0.607932
54.07931781,47800,0.001,200,-230.6340076,238,0.0001,,,,11.10539,0.5274242
54.31771088,48000,0.001,200,-197.468011,239,0.0001,,,,11.214153,0.55757284
54.55812073,48200,0.001,200,-213.3166654,240,0.0001,,,,11.170968,0.4663881
54.79437065,48400,0.001,200,-204.1087924,241,0.0001,,,,11.247615,0.5246949
55.03434324,48600,0.001,200,-221.3548069,242,0.0001,,,,11.298388,0.5706599
55.27636361,48800,0.001,200,-238.4995885,243,0.0001,,,,11.412354,0.5605394
55.51561213,49000,0.001,200,-220.3370572,244,0.0001,,,,11.39546,0.5058946
55.74784446,49200,0.001,200,-209.0364533,245,0.0001,,,,11.429832,0.51744044
55.9883604,49400,0.001,200,-241.5933487,246,0.0001,,,,11.487679,0.51247495
56.23110223,49600,0.001,200,-196.54326,247,0.0001,,,,11.399502,0.53173995
56.46514893,49800,0.001,200,-206.8689841,248,0.0001,,,,11.515811,0.5699485
